date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2023-09-10,39.65833333333333,24.820833333333336,327.5833333333333,24.400000000000002,9.6,55.333333333333336,0.4495833333333333,7.75,2.06875,73.25,52.25
2023-09-11,36.108333333333334,24.0,311.375,22.22083333333333,10.291666666666666,57.416666666666664,0.6066666666666667,3.0,1.6312499999999999,77.5,59.375
2023-09-12,22.72083333333333,15.762500000000001,246.70833333333334,16.641666666666666,7.95,62.541666666666664,0.4091666666666667,0.7083333333333334,1.1708333333333334,69.20833333333333,47.375
2023-09-13,13.804166666666667,9.379166666666666,209.70833333333334,12.137500000000001,6.604166666666667,60.625,0.20625000000000002,0.0,1.6354166666666667,50.25,30.333333333333332
2023-09-14,15.166666666666666,9.879166666666666,192.875,9.2125,5.279166666666667,64.08333333333333,0.25,0.9583333333333334,1.3895833333333334,37.416666666666664,25.916666666666668
2023-09-15,18.7625,12.270833333333334,209.83333333333334,12.575000000000001,5.4624999999999995,57.708333333333336,0.28291666666666665,1.2916666666666667,2.004166666666667,48.541666666666664,26.666666666666668
2023-09-16,37.025,24.1375,386.0,26.47083333333333,7.958333333333333,59.958333333333336,0.33916666666666667,2.2083333333333335,2.0875,57.541666666666664,38.083333333333336
2023-09-17,56.729166666666664,37.82083333333333,416.9583333333333,25.025000000000002,15.325000000000001,105.70833333333333,0.6191666666666666,2.0833333333333335,1.8833333333333335,115.20833333333333,67.625
2023-09-18,31.895833333333332,22.150000000000002,311.3333333333333,18.316666666666666,11.041666666666666,71.91666666666667,0.42625,0.20833333333333334,1.3125,101.04166666666667,68.33333333333333
2023-09-19,15.295833333333334,10.454166666666667,220.08333333333334,13.629166666666668,7.233333333333333,52.291666666666664,0.18500000000000003,0.0,1.1270833333333334,53.25,29.625
2023-09-20,11.479166666666666,7.808333333333334,201.16666666666666,10.820833333333333,5.908333333333334,54.5,0.22541666666666668,0.0,1.24375,37.958333333333336,24.666666666666668
2023-09-21,13.208333333333334,8.575000000000001,193.04166666666666,10.275,4.6375,54.708333333333336,0.3275,0.5833333333333334,1.0520833333333333,32.708333333333336,22.0
2023-09-22,18.445833333333333,11.799999999999999,193.79166666666666,12.3125,5.029166666666667,45.166666666666664,0.35333333333333333,1.5833333333333333,0.74375,42.75,21.666666666666668
2023-09-23,20.3875,13.3375,228.625,16.075,6.445833333333333,41.958333333333336,0.315,1.2083333333333333,1.33125,48.916666666666664,25.625
2023-09-24,21.974999999999998,14.254166666666668,229.5,15.016666666666666,6.0249999999999995,40.5,0.31625,1.375,1.5645833333333332,54.958333333333336,29.166666666666668
2023-09-25,23.425,15.691666666666668,259.625,17.974999999999998,7.116666666666667,42.708333333333336,0.40375,0.7083333333333334,1.3687500000000001,55.833333333333336,31.291666666666668
2023-09-26,45.64166666666667,31.212500000000002,442.6666666666667,38.762499999999996,15.725,59.166666666666664,0.35625,0.875,1.9791666666666667,69.875,47.625
2023-09-27,64.69583333333334,44.4625,552.625,42.925000000000004,16.6125,85.45833333333333,0.5429166666666666,1.0,1.5958333333333332,108.04166666666667,69.125
2023-09-28,80.21666666666667,55.574999999999996,736.2083333333334,52.262499999999996,13.9125,82.91666666666667,0.4575,0.7083333333333334,1.7979166666666666,149.16666666666666,86.83333333333333
2023-09-29,54.42916666666667,38.0,540.7916666666666,31.0,12.450000000000001,66.54166666666667,0.45625,0.0,0.9562499999999999,123.66666666666667,75.95833333333333
2023-09-30,16.716666666666665,11.554166666666667,237.83333333333334,13.708333333333334,7.283333333333334,49.875,0.18583333333333332,0.0,1.5062499999999999,77.375,51.458333333333336
2023-10-01,11.666666666666666,7.8125,196.33333333333334,10.75,5.570833333333333,56.458333333333336,0.27999999999999997,0.0,1.5791666666666666,36.333333333333336,24.625
2023-10-02,15.112499999999999,10.216666666666667,222.875,12.512500000000001,6.141666666666667,62.458333333333336,0.3625,0.0,1.2833333333333334,38.0,25.541666666666668
2023-10-03,11.879166666666668,8.025,197.875,11.329166666666666,5.341666666666666,56.625,0.23583333333333334,0.0,0.8916666666666666,37.75,23.5
2023-10-04,13.291666666666666,8.779166666666667,196.375,10.575000000000001,4.879166666666666,52.083333333333336,0.3804166666666667,0.2916666666666667,0.6854166666666667,36.75,21.0
2023-10-05,16.958333333333332,11.4125,217.33333333333334,10.0,4.6375,61.708333333333336,0.5016666666666666,0.375,0.7479166666666667,41.166666666666664,25.583333333333332
2023-10-06,33.979166666666664,22.954166666666666,304.3333333333333,13.616666666666667,6.470833333333334,77.25,0.6720833333333333,0.6666666666666666,0.71875,56.458333333333336,37.0
2023-10-07,39.454166666666666,26.995833333333334,392.75,22.916666666666668,7.995833333333334,80.08333333333333,0.67875,0.7083333333333334,0.61875,76.83333333333333,57.875
